sequence_id	original_indus	english_translation
seq_698	ha mu ja la ku	A grain comes small.
seq_699	ba pr ma	Before the good mother.
seq_700	ja ta sa	A stand comes.
seq_701	pa pa pa sa	A father's stand.
seq_702	ba ra ra na dh	The king's river holds.
seq_703	sa na la pa _ ba	A father's good _.
seq_704	an ra bh ha	The land bes.
seq_705	bh ma na	The river bes.
seq_706	pa mu la sa	A mouth's small stand.
seq_707	pa ka gh	A person's house.
seq_708	ra sa ta ku	A three's grain.
seq_709	ra ta ma gh gh	A house's house.
seq_710	la pa la	The small small father.
seq_711	na la na	The river's small river.
seq_712	ch pa ra ka	A king's person.
seq_713	ku ta pa mu	A father's mouth.
seq_714	ga dh ra pa	The father holds.
seq_715	pu ka sa dh	A person's stand holds.
seq_716	ha la ja	The small land comes.
seq_717	ba ka mu	A person's mouth.
seq_718	la ka na	The person's river.
seq_719	bh pa na	The river bes.
seq_720	dh ma sa	A stand holds.
seq_721	ja dh ha la	The land holds small.
seq_722	_ re ba dh	Holds.
seq_723	pu ka la	A pure small person.
seq_724	sa pa gh	A father's house.
seq_725	la ma ra ja ka na ta ka	A three's person comes.
seq_726	_ ma la la ba	The _'s good mother.
seq_727	ka ka ta	A person's three.
seq_728	la dh sa ka na	The person's river holds.
seq_729	na dh ra	The king holds.
seq_730	ka na na na mu ka un	Up a mouth's person.
seq_731	na bh ka la	A person bes small.
seq_732	ga pr la	Small.
seq_733	ta da gh ka ra ra ma	The king's mother does.
seq_734	ma gh ta	A house's three.
seq_735	sa sa ta	A stand's three.
seq_736	la na ba	The small good river.
seq_737	ta la da	A small three does.
seq_738	la ka ku ra	The grain's king.
seq_739	ku na ta	A river's three.
seq_740	pa _ pa la gh	A father's small house.
seq_741	ta na ch	A river's cut.
seq_742	la mu na ka	A river's person.
seq_743	ch na pa	The river's father.
seq_744	ka ta ma	The three's mother.
seq_745	na na ma la la	The river's small mother.
seq_746	si ka la ch	A small cut sits.
seq_747	ra sa la	A king's small stand.
seq_748	bh pa ra la	The king bes small.
seq_749	la ta ta ba ra	The three's good king.
seq_750	ga ra ku	A king's grain.
seq_751	na pa bh	The river's father bes.
seq_752	ma ha ha pa	The land's father.
seq_753	pa ka pa ha	The father's land.
seq_754	dh ta ra la	The king holds small.
seq_755	ka ba la sa ta ku	A three's grain.
seq_756	la ha pa ja ra	The king comes.
seq_757	ma an la	At the small mother.
seq_758	la la na	The small river.
seq_759	pa _ ta ku ch	A grain's cut.
seq_760	ta ma ku ta	A grain's three.
seq_761	re ka ma ka na ka ta na	The three's river flows.
seq_762	dh bh pa sa	A stand bes.
seq_763	ta sa ka ta la	A person's small three.
seq_764	sa la ra sa la	A king's small stand.
seq_765	na ba ma	The river's good mother.
seq_766	an ka la	At a small person.
seq_767	ra dh pa pa	The father holds.
seq_768	ba sa ka	A stand's person.
seq_769	ta na ka	A river's person.
seq_770	ga ka ta	A person's three.
seq_771	ga ma pa ba	The mother's good father.
seq_772	ra ra ka	A king's person.
seq_773	la sa gh	A stand's house.
seq_774	re sa ra	The king flows.
seq_775	an pa ku	A father's grain.
seq_776	ch sa na _	A river's _.
seq_777	pa gh ma la	The house's small mother.
seq_778	la ta ta ku pa bh	The grain's father bes.
seq_779	dh ch ja	Comes.
seq_780	ch pa bh	The cut's father bes.
seq_781	pa sa la ch ra	The cut's king.
seq_782	pa bh pa	The father bes.
seq_783	da g la mu	A small mouth does.
seq_784	pa bh pa na	The river bes.
seq_785	ku _ ra	The _'s king.
seq_786	ra kh ta mu da ra na	The river does.
seq_787	bh la ma	The mother bes small.
seq_788	ku ra ka ma bh	The person's mother bes.
seq_789	na ku mu	A grain's mouth.
seq_790	ra pa ta ka	A three's person.
seq_791	la na si	The small river sits.
seq_792	gh _ gh	A _'s house.
seq_793	mu ba na pa	The river's father.
seq_794	sa sa ha	The stand's land.
seq_795	ch un g na na	The river's river.
seq_796	ta ku ka la ra na	The king's river.
seq_797	pa bh ka sa ra	The stand's king bes.
seq_798	na pa pa	The father's father.
seq_799	ma gh na	The house's river.
seq_800	ra ba sa	A king's good stand.
seq_801	pa ra ma	The king's mother.
seq_802	pa sa pa	The stand's father.
seq_803	ba si ch	A good cut sits.
seq_804	na ma ra ta	A king's three.
seq_805	sa un ta dh	Up a stand's three holds.
seq_806	ku na pa	The river's father.
seq_807	la ba ra	The good king.
seq_808	bh pa la sa mu	A stand's mouth bes.
seq_809	ka na g	A river's cow.
seq_810	ta pa pa	The father's father.
seq_811	da pa ka	A person does.
seq_812	na la la dh	The small river holds.
seq_813	la ku bh ra sa	A stand bes.
seq_814	la na ta	A river's three.
seq_815	na ta ka	A three's person.
seq_816	la la pa la kh	A father's small sky.
seq_817	ha ku ha	The grain's land.
seq_818	g sa si ga	A cow's stand sits great.
seq_819	ra ma pa ku	A father's grain.
seq_820	ta ka na la na	The river's small river.
seq_821	ga ta ka	A three's person.
seq_822	un ch bh	Up a cut bes.
seq_823	ku ku ha ma ch	A mother's cut.
seq_824	na ka ja pa	The father comes.
seq_825	la na la	The small small river.
seq_826	ta pa pr ma ga gh	A mother's great house.
seq_827	ka ma pa pa sa	A father's stand.
seq_828	gh ka pa	The person's father.
seq_829	pa ku ga ta	A grain's great three.
seq_830	pa na pa	The river's father.
seq_831	_ ta na dh ta	A three holds.
seq_832	pa da la	The father does small.
seq_833	ma na ha	The river's land.
seq_834	pa pa ka ra	The person's king.
seq_835	pa ku gh	A grain's house.
seq_836	ch ma ba	The cut's good mother.
seq_837	pa ta ch ma	The cut's mother.
seq_838	ba ta na ta	A river's three.
seq_839	la da dh pa na	The river holds.
seq_840	na ka ka	A person's person.
seq_841	mu la la	A small mouth.
seq_842	sa ba pa na	The father's river.
seq_843	sa ma ku	A mother's grain.
seq_844	_ sa ta pa	The three's father.
seq_845	da ha dh	Holds.
seq_846	ma na ma	The river's mother.
seq_847	ta dh ka	A person holds.
seq_848	ga pa na si	The father's river sits.
seq_849	pa ta pa ku	A father's grain.
seq_850	si pa _ bh	A _ bes.
seq_851	ka pa _ ka	A _'s person.
seq_852	sa _ na sa	A river's stand.
seq_853	sa pa ra na mu	A river's mouth.
seq_854	ba pa pa ta	A father's three.
seq_855	ba dh gh	A good house holds.
seq_856	bh _ sa	A stand bes.
seq_857	sa un na	Up the stand's river.
seq_858	ch mu ba	A cut's good mouth.
seq_859	la ma ma	The mother's mother.
seq_860	na ma ta sh sh	Shines.
seq_861	ra ka ra	The person's king.
seq_862	la bh na ta	A three bes.
seq_863	un ch sa	A cut's stand.
seq_864	sa la ka	A stand's small person.
seq_865	ta ch la dh ka sa	A stand holds.
seq_866	da ja la	Comes small.
seq_867	pa pa ku un	Up a father's grain.
seq_868	mu bh ka	A person bes.
seq_869	dh ra pa _	A father's _ holds.
seq_870	pa mu ra	The mouth's king.
seq_871	ka na ku	A river's grain.
seq_872	ta ka pa ta	A father's three.
seq_873	ku ba ra la sa pa la	The stand's small father.
seq_874	dh ku pa ch na	The cut's river holds.
seq_875	ka ka pa	The person's father.
seq_876	pa na na	The river's river.
seq_877	_ ba ha la	The _'s good small land.
seq_878	gh la na ba	The house's small good river.
seq_879	ja _ la pa ha	The father's land comes.
seq_880	ta na ma	The river's mother.
seq_881	sa na pa sa ku ta	A grain's three.
seq_882	ch ma ma ma	The mother's mother.
seq_883	pa ka ka sa pa	The stand's father.
seq_884	ma pa ta	A father's three.
seq_885	na ta ba ma _	A mother's _.
seq_886	ga na ch la na	The cut's small river.
seq_887	bh ra la sa sa	A stand's stand bes.
seq_888	na pa ch ka pa	The person's father.
seq_889	la la ka ka _	A person's _.
seq_890	da pa ch	A cut does.
seq_891	la ma an sa	At a mother's stand.
seq_892	ga ba la ka pa la	The person's small father.
seq_893	pa pa na ta	A river's three.
seq_894	sa ka sa ka	A stand's person.
seq_895	ma ma ch pa	The cut's father.
seq_896	ja la ka ka	A person's person comes small.
seq_897	ma ha ba ma	The land's good mother.
seq_898	la ra ku ja na	The river comes.
seq_899	pa ka ch ch ra	The cut's king.
seq_900	ch _ ga an un sa	At up a _'s great stand.
seq_901	dh ta na pa	The river's father holds.
seq_902	ba sa _	A stand's _.
seq_903	ta ba ka	A three's good person.
seq_904	ku sa la pa	The stand's small father.
seq_905	ra ka ku	A person's grain.
seq_906	ka ka na _	A river's _.
seq_907	na pa _	A father's _.
seq_908	pa na gh	A river's house.
seq_909	pa dh na	The river holds.
seq_910	pa _ la	A father's small _.
seq_911	ga _ ka na	The person's river.
seq_912	dh na ka	A person holds.
seq_913	pa bh ch ta	A three bes.
seq_914	ma ku ma	The grain's mother.
seq_915	ka da ma	The mother does.
seq_916	ja ch ku pa ta sa	A three's stand comes.
seq_917	ma ba mu ma	The mouth's mother.
seq_918	ch la ka	A cut's small person.
seq_919	la la ku	A small grain.
seq_920	na gh gh ha _	A land's _.
seq_921	sa na sa	A river's stand.
seq_922	ch gh ma	The house's mother.
seq_923	ku ja ku dh ka ta	A three holds.
seq_924	sa ma la	The stand's small mother.
seq_925	ta pa sa mu	A stand's mouth.
seq_926	dh ma mu	A mouth holds.
seq_927	ra _ na ra	The river's king.
seq_928	ra ku ku	A grain's grain.
seq_929	na pa _	A father's _.
seq_930	ta _ na na	The river's river.
seq_931	ma ku sa	A grain's stand.
seq_932	ha ta ba	A land's good three.
seq_933	ja ha ma	The mother comes.
seq_934	pa ba ta na ta	A river's three.
seq_935	ka ta pa ra	The father's king.
seq_936	ta sa ka	A stand's person.
seq_937	pa ka da	A father's person does.
seq_938	pa gh pa sa ku	A stand's grain.
seq_939	ra ja la la	The king comes small small.
seq_940	ku ka pa	The person's father.
seq_941	ku ch sa pa	The stand's father.
seq_942	pa na ma	The river's mother.
seq_943	na pa ka ra	The person's king.
seq_944	ba ta pa	The three's father.
seq_945	ch pa ka	A father's person.
seq_946	pa ta an pa na	The father's river.
seq_947	la sh g ta	A three shines.
seq_948	ma ba ta	A mother's good three.
seq_949	ha bh ha	The land bes.
seq_950	sa ma ba ma	The mother's good mother.
seq_951	la na pa	The river's father.
seq_952	ka na si pa sa	A stand sits.
seq_953	la ba kh da	A good sky does.
seq_954	pa ha ta	A land's three.
seq_955	pa ma dh	The father's mother holds.
seq_956	sa ha la	The stand's small land.
seq_957	ta ra bh	The three's king bes.
seq_958	na pa ku dh na	The river holds.
seq_959	la pa pa	The father's father.
seq_960	ma kh la ka ka la	A person's small person.
seq_961	sa sa ka	A stand's person.
seq_962	ku ma ku	A mother's grain.
seq_963	ha pa sa la ta	A stand's small three.
seq_964	ja kh la ra	The small king comes.
seq_965	na ka sa	A person's stand.
seq_966	la na pa	The river's father.
seq_967	pa ku na pa	The river's father.
seq_968	pa ba _ dh ja na	The river comes.
seq_969	sa na na sa la	A river's small stand.
seq_970	ku _ ma sa	A mother's stand.
seq_971	ma la da	The small mother does.
seq_972	sa ra na _ ma gh	A mother's house.
seq_973	ra ta mu dh si	Sits.
seq_974	ku mu pa	The mouth's father.
seq_975	pa ch sa pa ta	A father's three.
seq_976	an ta la	At a small three.
seq_977	pa ga pa	The father's great father.
seq_978	pa la ta	A father's small three.
seq_979	ta ta na	The three's river.
seq_980	g gh ta pa ma	The father's mother.
seq_981	ka dh na sa bh	A stand bes.
seq_982	na ka ba	A river's good person.
seq_983	ja ka ma pa	The mother's father comes.
seq_984	ka ku ba	A person's good grain.
seq_985	ka na sa	A river's stand.
seq_986	ta re ta ch	A cut flows.
seq_987	ta ba mu	A three's good mouth.
seq_988	ta na ch na	The cut's river.
seq_989	ta bh pa	The father bes.
seq_990	pa gh ku	A house's grain.
seq_991	la ku ma	The grain's mother.
seq_992	ta mu ku na	The grain's river.
seq_993	pa ka ha dh la	The person's land holds small.
seq_994	na ma ka ja ch pa	The father comes.
seq_995	ta dh pa	The father holds.
seq_996	ku pa dh dh bh	Bes.
seq_997	sa ga _	A stand's great _.
seq_998	_ mu na	The mouth's river.
seq_999	sa la na	The stand's small river.
seq_1000	pa _ ku	A _'s grain.
seq_1001	pa si ba	The father sits good.
seq_1002	ra ja ra	The king comes.
seq_1003	da pa ku ma pa	The mother's father does.
seq_1004	ch la ga	A great cut.
seq_1005	bh la _ ka na	The person's river bes small.
seq_1006	ku ra ra	The king's king.
seq_1007	ka pa ku da dh ta	A three holds.
seq_1008	ma ga ra	The mother's great king.
seq_1009	sa ma ba la	The stand's small mother.
seq_1010	na ma ta	A mother's three.
seq_1011	sa ma ta	A mother's three.
seq_1012	la si na na	The river sits.
seq_1013	ta ka sa	A person's stand.
seq_1014	ja pa ga	The father comes great.
seq_1015	sa ka ka ha	The person's land.
seq_1016	pa ba sa _ pa	The _'s father.
seq_1017	ta na pa	The river's father.
seq_1018	ta pa sa la pa	The stand's small father.
seq_1019	ma _ ra ka mu	A person's mouth.
seq_1020	ta ta ka ma dh	The person's mother holds.
seq_1021	ta pa _	A father's _.
seq_1022	ka ta ka sa	A person's stand.
seq_1023	pa na ku	A river's grain.
seq_1024	ta ra la sa ra pa ku la	A father's small grain.
seq_1025	ka _ sa	A _'s stand.
seq_1026	ch ba ka ba la	A cut's good small person.
seq_1027	da ja pa	The father comes.
seq_1028	dh ma ka ka	A person's person holds.
seq_1029	la ra ta	A king's three.
seq_1030	ta ka pa	The person's father.
seq_1031	ka ja ra	The king comes.
seq_1032	gh _ sa	A _'s stand.
seq_1033	ja na ra pu	The king comes pure.
seq_1034	ra ka na na	The river's river.
seq_1035	la ka ha _	A land's _.
seq_1036	la pa pa ch	A father's cut.
seq_1037	dh ba na ra	The river's king holds good.
seq_1038	ka sa ka gh ta	A house's three.
seq_1039	ka ka ra	The person's king.
seq_1040	ja la na pa ka ka ra na	The king's river comes small.
seq_1041	sa la la la la	A small stand.
seq_1042	bh ra pa ra	The father's king bes.
seq_1043	na ga pa ra	The father's king.
seq_1044	gh sa pa	The stand's father.
seq_1045	sa na ma	The river's mother.
seq_1046	ha sa pa	The stand's father.
seq_1047	na ma _	A mother's _.
seq_1048	ch ku ra	The grain's king.
seq_1049	ta sa pa	The stand's father.
seq_1050	ra da ta ra	The king does.
seq_1051	gh _ pa	The _'s father.
seq_1052	pa la pa pr ga	Before the father's small great father.
seq_1053	ka sa _	A stand's _.
seq_1054	ch ku la ta sa	A three's stand.
seq_1055	sa na _ na	The _'s river.
seq_1056	la ba na pa	The river's father.
seq_1057	pa ma sa	A mother's stand.
seq_1058	la na ta ba	A river's good three.
seq_1059	ch _ sa	A _'s stand.
seq_1060	ka na pa ta	A father's three.
seq_1061	ta pa pa sa ma	The stand's mother.
seq_1062	ch ka ba ha	The person's good land.
seq_1063	ka na la la	The person's small river.
seq_1064	pa ta ka pa	The person's father.
seq_1065	la na pa	The river's father.
seq_1066	na na ma pa	The mother's father.
seq_1067	pa ku g	A grain's cow.
seq_1068	pr na la sa bh	A river's small stand bes.
seq_1069	pa ma ra pu	The mother's pure king.
seq_1070	pa an ka na ra ga ch	A king's great cut.
seq_1071	sa dh pa	The father holds.
seq_1072	la ka da	A small person does.
seq_1073	ka la _	A person's small _.
seq_1074	pa pa ha	The father's land.
seq_1075	na ku pa dh na	The river holds.
seq_1076	pa la ba	The good father.
seq_1077	dh na sa ka pa	The person's father holds.
seq_1078	ba pa ka	A father's person.
seq_1079	ch _ la	A cut's small _.
seq_1080	na ka ka ta	A person's three.
seq_1081	pa sa ta	A stand's three.
seq_1082	na ha pa	The land's father.
seq_1083	ku pa pa	The father's father.
seq_1084	ma ra an ra pa	The king's father.
seq_1085	ku ka pa	The person's father.
seq_1086	pa la _	A father's small _.
seq_1087	gh ka sa	A person's stand.
seq_1088	g _ na pa ka na	The person's river.
seq_1089	ta gh pa	The house's father.
seq_1090	na _ ta ta	A three's three.
seq_1091	ka ra ta ba	A king's good three.
seq_1092	pa sa pa	The stand's father.
seq_1093	sa sa ra ka ta	A person's three.
seq_1094	gh bh ta ta	A three bes.
seq_1095	ma ch ha	The cut's land.
seq_1096	ma ka ch	A person's cut.
seq_1097	ja pa pa _ sa	A _'s stand comes.
seq_1098	sa ra pa gh ja	A father's house comes.
seq_1099	ku pa ra na	The king's river.
seq_1100	la sa gh dh ka	A person holds.
seq_1101	ch la mu	A cut's small mouth.
seq_1102	_ ka gh ku bh g pa ku	A father's grain bes.
seq_1103	ga sa ma ra	The mother's king.
seq_1104	ra _ gh	A _'s house.
seq_1105	pa _ ka mu	A person's mouth.
seq_1106	la ta ma	The three's mother.
seq_1107	_ pa ra gh ta	A house's three.
seq_1108	ra pa ra la pa la pa	The father's small father.
seq_1109	ta ha pa ka sa	A person's stand.
seq_1110	sa ra ja	The stand's king comes.
seq_1111	ka ta ka	A three's person.
seq_1112	cha jha na	The place's river.
seq_1113	_ la pa	The _'s small father.
seq_1114	ch sh ha	The land shines.
seq_1115	ra ch na	The cut's river.
seq_1116	sa na ra	The river's king.
seq_1117	g bh la ta	A three bes small.
seq_1118	ka na na	The river's river.
seq_1119	la na ba na	The river's good river.
seq_1120	ha ma ka	A mother's person.
seq_1121	ta ba na ba	The three's good good river.
seq_1122	pa la da	The small father does.
seq_1123	la ka sa ma	The stand's mother.
seq_1124	na ra ma sa	A mother's stand.
seq_1125	ka na pa	The river's father.
seq_1126	_ ba _	A _'s good _.
seq_1127	ku na ka pa na	The father's river.
seq_1128	pa pa ta _ pa	The _'s father.
seq_1129	ra sa ka ma	The person's mother.
seq_1130	ba ra mu pa _ mu	A _'s mouth.
seq_1131	ta dh ka ra ka ka ha na	The land's river holds.
seq_1132	la gh ta	A house's three.
seq_1133	ma g la	A mother's small cow.
seq_1134	na ma ba pa ka	A father's person.
seq_1135	g sa ku	A stand's grain.
seq_1136	ha na ba	The land's good river.
seq_1137	ra ta ta ra	The three's king.
seq_1138	ra ba ku	A king's good grain.
seq_1139	ka dh na na la	The river holds small.
seq_1140	ch pa la	The cut's small father.
seq_1141	ka na ta gh	A three's house.
seq_1142	na ra na ra	The river's king.
seq_1143	ka ta ja ku	A grain comes.
seq_1144	ra ka pa	The person's father.
seq_1145	ta ka ma	The person's mother.
seq_1146	ch ch ku	A cut's grain.
seq_1147	ba la ra	The small king.
seq_1148	ra pa sa	A father's stand.
seq_1149	bh na bh	Bes.
seq_1150	ka na sa ch	A stand's cut.
seq_1151	na pa pa na pa na pa na	The father's river.
seq_1152	ma ra ta	A king's three.
seq_1153	na ka na	The person's river.
seq_1154	ka gh ku ch	A grain's cut.
seq_1155	pa ra na	The king's river.
seq_1156	ku ra pa pa	The father's father.
seq_1157	la ra pa	The king's father.
seq_1158	sa sa ta ta na kh	A river's sky.
seq_1159	na ta na la dh na	The small river holds.
seq_1160	dh ba sa	A stand holds good.
seq_1161	ka ka la ku	A person's small grain.
seq_1162	la mu ta sa ka	A stand's person.
seq_1163	na la ma g na	The cow's river.
seq_1164	sa ka ba dh	A stand's good person holds.
seq_1165	la ku ha	The grain's land.
seq_1166	ha ta la si	A land's small three sits.
seq_1167	gh la pa	The house's small father.
seq_1168	an dh la la ta ka	A three's person holds small.
seq_1169	ra pa pu	The king's pure father.
seq_1170	pa mu _	A mouth's _.
seq_1171	la ta sa ka	A stand's person.
seq_1172	ta da ga	A three does great.
seq_1173	ka ta na	The three's river.
seq_1174	la na _	A river's _.
seq_1175	na sa na	The stand's river.
seq_1176	ku sa ba bh gh	A good house bes.
seq_1177	na na sa la	A river's small stand.
seq_1178	la na ta	A river's three.
seq_1179	_ pr sa	Before a _'s stand.
seq_1180	ma ta dh	A mother's three holds.
seq_1181	ta la ba	A good three.
seq_1182	na sh ja	Comes.
seq_1183	pa bh pa ta la ra ma	The king's mother bes.
seq_1184	si ta ka ba	A person sits good.
seq_1185	pa la ta _ na	The _'s river.
seq_1186	ra ba ma	The king's good mother.
seq_1187	pa sa ma la	The stand's small mother.
seq_1188	sa ra na	The king's river.
seq_1189	dh ra ka ka pa	The person's father holds.
seq_1190	ch ka na	The person's river.
seq_1191	pa ta ka sa pa pa	The father's father.
seq_1192	ra ch ra	The cut's king.
seq_1193	la pa ka la na	The person's small river.
seq_1194	gh ma na	The mother's river.
seq_1195	ga pa sa	A father's stand.
seq_1196	_ sh la pa dh	The father holds.
seq_1197	sa ka ch	A person's cut.
seq_1198	ka sa na	The stand's river.
seq_1199	ta ka _ na	The _'s river.
seq_1200	ku _ la ch	A _'s small cut.
seq_1201	pa pa ka ku	A person's grain.
seq_1202	ta ka ta	A person's three.
seq_1203	pa na na	The river's river.
seq_1204	pa la ch	A father's small cut.
seq_1205	ch ku ka	A grain's person.
seq_1206	la pa ka	A father's person.
seq_1207	_ ta ra ra sa	A king's stand.
seq_1208	ma ma la ma ha ma	The land's mother.
seq_1209	na ku na	The grain's river.
seq_1210	sa pa la	The stand's small father.
seq_1211	un _ bh ma na la la gh	A small house bes.
seq_1212	sa la ma	The stand's small mother.
seq_1213	na ma na ra ja	The river's king comes.
seq_1214	na dh na	The river holds.
seq_1215	ga sa bh	A great stand bes.
seq_1216	la ta ka gh	A person's house.
seq_1217	ch sa pa sa _	A stand's _.
seq_1218	ta ta mu	A three's mouth.
seq_1219	ma ka si	A mother's person sits.
seq_1220	la ka ba la pa la	The person's small small father.
seq_1221	ta bh ku ka	A person bes.
seq_1222	ku ma pa	The mother's father.
seq_1223	na ra an	At the river's king.
seq_1224	_ sa ka	A stand's person.
seq_1225	ba sa sa pa la	The stand's small father.
seq_1226	pa ma ka	A mother's person.
seq_1227	sa ra ka	A king's person.
seq_1228	pa ta ga	A father's great three.
seq_1229	ra pa ra mu sa	A mouth's stand.
seq_1230	na pa la re ma	The small mother flows.
seq_1231	na pa pa ka mu	A person's mouth.
seq_1232	ta pa la ta ja	A father's small three comes.
seq_1233	ja dh ku ka	A person holds.
seq_1234	na dh ra na	The river holds.
seq_1235	ha g na	The cow's river.
seq_1236	pa pa ku ra	The grain's king.
seq_1237	ra ga ba	The good king.
seq_1238	dh bh na ku	A grain bes.
seq_1239	na _ sa ba	A _'s good stand.
seq_1240	dh la na ka pa	The person's father holds small.
seq_1241	pr la ku	Before a small grain.
seq_1242	ta ra dh sa	A stand holds.
seq_1243	ga ta ka ma sa ta	A stand's three.
seq_1244	ka ka na sa	A river's stand.
seq_1245	dh pa ku ta bh	A grain's three bes.
seq_1246	na la sa ma	The stand's mother.
seq_1247	ta ga ra ta	A king's three.
seq_1248	ku pa ba	The grain's good father.
seq_1249	dh pa na ma mu	A mother's mouth holds.
seq_1250	ma ka da	A mother's person does.
seq_1251	ra gh na na pa	The river's father.
seq_1252	ta mu dh sa ta	A three holds.
seq_1253	dh la bh dh ma	The mother holds.
seq_1254	na ch pa na mu na ta _	A three's _.
seq_1255	pa sa pa pa pa	The father's father.
seq_1256	ta sa ga	A three's great stand.
seq_1257	_ ja ra ka	A person comes.
seq_1258	la da pa na	The river does.
seq_1259	ha pa ja ta	A three comes.
seq_1260	sa na ka	A river's person.
seq_1261	ka ha pa	The land's father.
seq_1262	ku _ ba	A grain's good _.
seq_1263	dh ka sa ka	A stand's person holds.
seq_1264	pa ka dh	A father's person holds.
seq_1265	ta ra ka ra ka	A king's person.
seq_1266	la ta ga	A small great three.
seq_1267	ka ta sa	A three's stand.
seq_1268	ma ku na	The grain's river.
seq_1269	pa la pa	The father's small father.
seq_1270	pa la pa	The father's small father.
seq_1271	ma ka ja	A mother's person comes.
seq_1272	la pa la	The small small father.
seq_1273	ma sa ka	A stand's person.
seq_1274	ta ka sa ma	The stand's mother.
seq_1275	gh da la	A house does small.
seq_1276	ka pu gh	A person's pure house.
seq_1277	la g ta	A cow's three.
seq_1278	ka mu ka ka	A person's person.
seq_1279	pa pa ch ma	The cut's mother.
seq_1280	dh la bh na	The river bes.
seq_1281	un ta ku ba ta	A grain's good three.
seq_1282	ra bh la	The king bes small.
seq_1283	na na sa	A river's stand.
seq_1284	ra ch ch pa ja gh	A house comes.
seq_1285	ku ra pa ra na	The king's river.
seq_1286	ra ma ra	The mother's king.
seq_1287	ch an ka dh pa	The father holds.
seq_1288	la ka na dh	The person's river holds.
seq_1289	ha ta sa	A three's stand.
seq_1290	ra ma ra mu	A king's mouth.
seq_1291	ta sa na sh	The stand's river shines.
seq_1292	pa gh ch pa pa pa	The father's father.
seq_1293	gh ta ba ra na	The king's river.
seq_1294	dh la ba la	Holds small small.
seq_1295	ta ta ch ka	A cut's person.
seq_1296	sa ka pa ta ra bh ma _	A _ bes.
seq_1297	ma ga la	The small mother.
seq_1298	ma na ja na ba	The river comes good.
seq_1299	bh na ma _	A mother's _ bes.
seq_1300	na ga ra na ma	The river's mother.
seq_1301	la ch _	A cut's _.
seq_1302	na ma ra na ra	The river's king.
seq_1303	_ ma bh ra	The king bes.
seq_1304	ja pa ma pa	The mother's father comes.
seq_1305	ra dh ba	The king holds good.
seq_1306	la ba ja _ pa	The father comes.
seq_1307	la la ma	The small mother.
seq_1308	la ch ka	A cut's person.
seq_1309	la ta dh sa	A stand holds.
seq_1310	ka ta sa la sa	A stand's small stand.
seq_1311	pa g ta	A cow's three.
seq_1312	ku ta ku	A three's grain.
seq_1313	sa ch pa mu	A father's mouth.
seq_1314	na da ha na ma	The river's mother does.
seq_1315	pa pa ba si	The father's good father sits.
seq_1316	la ta ra pa	The king's father.
seq_1317	kh pa na	The father's river.
seq_1318	pa pa ka gh ka	A house's person.
seq_1319	bh ba ma	The mother bes good.
seq_1320	pa sa la pa _ pa	The _'s father.
seq_1321	ba pa ka	A father's person.
seq_1322	na na na ku ta ra	The three's king.
seq_1323	la pa sa	A father's stand.
seq_1324	na ha ku	A land's grain.
seq_1325	ta ra ta	A king's three.
seq_1326	ka pa pa g	A father's cow.
seq_1327	ta ta ch la mu pa	The mouth's father.
seq_1328	ch ma pa	The mother's father.
seq_1329	na pa ka	A father's person.
seq_1330	ha la la	The small land.
seq_1331	an ta na	The three's river.
seq_1332	la pa ku ka	A grain's person.
seq_1333	ma na ha	The river's land.
seq_1334	ta _ pa ba ta	A father's good three.
seq_1335	_ ta na	The three's river.
seq_1336	ra pa pa sa na la	The stand's small river.
seq_1337	pa pa ta	A father's three.
seq_1338	dh ma sa	A stand holds.
seq_1339	g ma ta	A mother's three.
seq_1340	na ta ka mu	A person's mouth.
seq_1341	na ta la pa ch ta	A cut's three.
seq_1342	na ka bh	A river's person bes.
seq_1343	la ka ra ra	The king's king.
seq_1344	ta ja bh la	Bes small.
seq_1345	na ma ka	A mother's person.
seq_1346	sa la sa	A stand's small stand.
seq_1347	ch ch ra sh	The cut's king shines.
seq_1348	ta ja ra ta	A three comes.
seq_1349	ta ka pa pa	The father's father.
seq_1350	ka bh la ba	A person bes small good.
seq_1351	ta na ch	A river's cut.
seq_1352	dh sa ma bh	The mother bes.
seq_1353	pa la _ ba la	A father's small small _.
seq_1354	mu ma dh la sa	A stand holds small.
seq_1355	dh sa pa	The father holds.
seq_1356	la mu ma sa la dh na ka	A person holds.
seq_1357	ch pa na pa	The river's father.
seq_1358	na _ ta	A _'s three.
seq_1359	pa ba sa	A father's good stand.
seq_1360	ta ka pa ha	The father's land.
seq_1361	pa bh la ku ka	A grain's person bes small.
seq_1362	ra ka ku ga	A person's great grain.
seq_1363	dh la ma	The mother holds small.
seq_1364	pa un ka ma	The person's mother.
seq_1365	ga pa sa	A father's stand.
seq_1366	ch pa pa	The father's father.
seq_1367	pa ch ta	A cut's three.
seq_1368	ka dh ka pa	The father holds.
seq_1369	pa bh an	At the father bes.
seq_1370	ku _ sa sa	A stand's stand.
seq_1371	ku ta na	The three's river.
seq_1372	ch ra ga pu ka	A king's pure person.
seq_1373	ka ha ta	A land's three.
seq_1374	ch la sa ta	A stand's three.
seq_1375	ma ku ma	The grain's mother.
seq_1376	dh _ ku na mu sa	A mouth's stand holds.
seq_1377	la na ma pa _ pa	The _'s father.
seq_1378	sa ma _	_ the stand's mother.
seq_1379	ma bh pa	The father bes.
seq_1380	g ra _	A king's _.
